_id,aggregation_period,int_id,intersection_name,px,classification,dir,period_name,volume
97,Apr 2018,13466418,Bay St / Queen St W,64,Pedestrians,WB,Morning (08:00-12:00),1504
98,Apr 2018,13466418,Bay St / Queen St W,64,Pedestrians,WB,PM Peak Period (16:00-19:00),2435
99,Apr 2018,13466418,Bay St / Queen St W,64,Vehicles,EB,14 Hour,6278
100,Apr 2018,13466418,Bay St / Queen St W,64,Vehicles,EB,Afternoon (12:00-17:00),2403
101,Apr 2018,13466536,Bay St / Richmond St W,63,Cyclists,WB,Morning (08:00-12:00),306
102,Apr 2018,13466418,Bay St / Queen St W,64,Vehicles,EB,AM Peak Period (07:00-10:00),1218
103,Apr 2018,13466418,Bay St / Queen St W,64,Vehicles,EB,Evening (17:00-22:00),2393
104,Apr 2018,13466418,Bay St / Queen St W,64,Vehicles,EB,Midday (10:00-16:00),2719
105,Apr 2018,13466418,Bay St / Queen St W,64,Vehicles,EB,Morning (08:00-12:00),1781
106,Apr 2018,13466418,Bay St / Queen St W,64,Vehicles,EB,PM Peak Period (16:00-19:00),1745
107,Apr 2018,13466418,Bay St / Queen St W,64,Vehicles,WB,14 Hour,4619
108,Apr 2018,13466418,Bay St / Queen St W,64,Vehicles,WB,Afternoon (12:00-17:00),1590
109,Apr 2018,13466418,Bay St / Queen St W,64,Vehicles,WB,AM Peak Period (07:00-10:00),1249
110,Apr 2018,13466418,Bay St / Queen St W,64,Vehicles,WB,Evening (17:00-22:00),1525
111,Apr 2018,13466418,Bay St / Queen St W,64,Vehicles,WB,Midday (10:00-16:00),1857
112,Apr 2018,13466418,Bay St / Queen St W,64,Vehicles,WB,Morning (08:00-12:00),1581
113,Apr 2018,13466418,Bay St / Queen St W,64,Vehicles,WB,PM Peak Period (16:00-19:00),1072
114,Apr 2018,13466455,Adelaide St E / Jarvis St / St. James Park Trl,4,Cyclists,EB,14 Hour,620
115,Apr 2018,13466455,Adelaide St E / Jarvis St / St. James Park Trl,4,Cyclists,EB,Afternoon (12:00-17:00),178
116,Apr 2018,13466455,Adelaide St E / Jarvis St / St. James Park Trl,4,Cyclists,EB,AM Peak Period (07:00-10:00),101
117,Apr 2018,13466455,Adelaide St E / Jarvis St / St. James Park Trl,4,Cyclists,EB,Evening (17:00-22:00),339
118,Apr 2018,13466455,Adelaide St E / Jarvis St / St. James Park Trl,4,Cyclists,EB,Midday (10:00-16:00),125
119,Apr 2018,13466455,Adelaide St E / Jarvis St / St. James Park Trl,4,Cyclists,EB,Morning (08:00-12:00),121
120,Apr 2018,13466455,Adelaide St E / Jarvis St / St. James Park Trl,4,Cyclists,EB,PM Peak Period (16:00-19:00),330
121,Apr 2018,13466455,Adelaide St E / Jarvis St / St. James Park Trl,4,Pedestrians,EB,14 Hour,2171
122,Apr 2018,13466455,Adelaide St E / Jarvis St / St. James Park Trl,4,Pedestrians,EB,Afternoon (12:00-17:00),744
123,Apr 2018,13466455,Adelaide St E / Jarvis St / St. James Park Trl,4,Pedestrians,EB,AM Peak Period (07:00-10:00),392
124,Apr 2018,13466455,Adelaide St E / Jarvis St / St. James Park Trl,4,Pedestrians,EB,Evening (17:00-22:00),1008
125,Apr 2018,13466455,Adelaide St E / Jarvis St / St. James Park Trl,4,Pedestrians,EB,Midday (10:00-16:00),763
126,Apr 2018,13466455,Adelaide St E / Jarvis St / St. James Park Trl,4,Pedestrians,EB,Morning (08:00-12:00),531
127,Apr 2018,13466455,Adelaide St E / Jarvis St / St. James Park Trl,4,Pedestrians,EB,PM Peak Period (16:00-19:00),830
128,Apr 2018,13466455,Adelaide St E / Jarvis St / St. James Park Trl,4,Pedestrians,WB,14 Hour,2280
129,Apr 2018,13466455,Adelaide St E / Jarvis St / St. James Park Trl,4,Pedestrians,WB,Afternoon (12:00-17:00),726
130,Apr 2018,13466455,Adelaide St E / Jarvis St / St. James Park Trl,4,Pedestrians,WB,AM Peak Period (07:00-10:00),796
131,Apr 2018,13466455,Adelaide St E / Jarvis St / St. James Park Trl,4,Pedestrians,WB,Evening (17:00-22:00),620
132,Apr 2018,13466455,Adelaide St E / Jarvis St / St. James Park Trl,4,Pedestrians,WB,Midday (10:00-16:00),781
133,Apr 2018,13466455,Adelaide St E / Jarvis St / St. James Park Trl,4,Pedestrians,WB,Morning (08:00-12:00),857
134,Apr 2018,13466455,Adelaide St E / Jarvis St / St. James Park Trl,4,Pedestrians,WB,PM Peak Period (16:00-19:00),561
135,Apr 2018,13466455,Adelaide St E / Jarvis St / St. James Park Trl,4,Vehicles,EB,14 Hour,13809
136,Apr 2018,13466455,Adelaide St E / Jarvis St / St. James Park Trl,4,Vehicles,EB,Afternoon (12:00-17:00),5511
137,Apr 2018,13466455,Adelaide St E / Jarvis St / St. James Park Trl,4,Vehicles,EB,AM Peak Period (07:00-10:00),2435
138,Apr 2018,13466455,Adelaide St E / Jarvis St / St. James Park Trl,4,Vehicles,EB,Evening (17:00-22:00),5695
139,Apr 2018,13466455,Adelaide St E / Jarvis St / St. James Park Trl,4,Vehicles,EB,Midday (10:00-16:00),5864
140,Apr 2018,13466455,Adelaide St E / Jarvis St / St. James Park Trl,4,Vehicles,EB,Morning (08:00-12:00),3426
141,Apr 2018,13466455,Adelaide St E / Jarvis St / St. James Park Trl,4,Vehicles,EB,PM Peak Period (16:00-19:00),4033
